,Sector
Financials,0.3233499722684415
Consumer Discretionary,0.1314475873544093
Industrials,0.11591791458679977
Materials,0.09650582362728785
Information Technology,0.07210205213533001
Consumer Staples,0.06378258458125347
Energy,0.06100942872989462
Utilities,0.056017748197448695
Health Care,0.050471436494731
Telecommunication Services,0.029395452024403773
