Sector,Profits
Utilities,54.349
Energy,58.63299999999995
Telecommunication Services,103.86299999999997
Materials,139.07299999999998
Consumer Staples,155.5980000000001
Health Care,178.5180000000001
Industrials,201.85799999999998
Information Technology,265.3229999999999
Consumer Discretionary,306.98600000000005
Financials,911.2139999999991
