,location,date,total_deaths
161,Angola,2020-04-03,2
162,Angola,2020-04-04,2
163,Angola,2020-04-05,2
164,Angola,2020-04-06,2
165,Angola,2020-04-07,2
166,Angola,2020-04-08,2
167,Angola,2020-04-09,2
168,Angola,2020-04-10,2
169,Angola,2020-04-11,2
170,Angola,2020-04-12,2
171,Angola,2020-04-13,2
172,Angola,2020-04-14,2
173,Angola,2020-04-15,2
174,Angola,2020-04-16,2
175,Angola,2020-04-17,2
176,Angola,2020-04-18,2
177,Angola,2020-04-19,2
178,Angola,2020-04-20,2
179,Angola,2020-04-21,2
180,Angola,2020-04-22,2
181,Angola,2020-04-23,2
182,Angola,2020-04-24,2
183,Angola,2020-04-25,2
184,Angola,2020-04-26,2
185,Angola,2020-04-27,2
186,Angola,2020-04-28,2
187,Angola,2020-04-29,2
188,Anguilla,2020-03-27,0
189,Anguilla,2020-03-28,0
190,Anguilla,2020-03-29,0
191,Anguilla,2020-03-30,0
192,Anguilla,2020-03-31,0
193,Anguilla,2020-04-01,0
194,Anguilla,2020-04-02,0
195,Anguilla,2020-04-03,0
196,Anguilla,2020-04-04,0
197,Anguilla,2020-04-05,0
198,Anguilla,2020-04-06,0
199,Anguilla,2020-04-07,0
200,Anguilla,2020-04-08,0
201,Anguilla,2020-04-09,0
202,Anguilla,2020-04-10,0
203,Anguilla,2020-04-11,0
204,Anguilla,2020-04-12,0
205,Anguilla,2020-04-13,0
206,Anguilla,2020-04-14,0
207,Anguilla,2020-04-15,0
208,Anguilla,2020-04-16,0
209,Anguilla,2020-04-17,0
210,Anguilla,2020-04-18,0
211,Anguilla,2020-04-19,0
212,Anguilla,2020-04-20,0
213,Anguilla,2020-04-21,0
214,Anguilla,2020-04-22,0
215,Anguilla,2020-04-23,0
216,Anguilla,2020-04-24,0
217,Anguilla,2020-04-25,0
218,Anguilla,2020-04-26,0
219,Anguilla,2020-04-27,0
220,Anguilla,2020-04-28,0
221,Anguilla,2020-04-29,0
222,Albania,2020-03-09,0
223,Albania,2020-03-10,0
224,Albania,2020-03-11,0
225,Albania,2020-03-12,1
226,Albania,2020-03-13,1
227,Albania,2020-03-14,1
228,Albania,2020-03-15,1
229,Albania,2020-03-16,1
230,Albania,2020-03-17,1
231,Albania,2020-03-18,1
232,Albania,2020-03-19,2
233,Albania,2020-03-20,2
234,Albania,2020-03-21,2
235,Albania,2020-03-22,2
236,Albania,2020-03-23,2
237,Albania,2020-03-24,4
238,Albania,2020-03-25,5
239,Albania,2020-03-26,5
240,Albania,2020-03-27,6
241,Albania,2020-03-28,9
242,Albania,2020-03-29,10
243,Albania,2020-03-30,10
244,Albania,2020-03-31,12
245,Albania,2020-04-01,15
246,Albania,2020-04-02,15
247,Albania,2020-04-03,16
248,Albania,2020-04-04,17
249,Albania,2020-04-05,19
250,Albania,2020-04-06,21
251,Albania,2020-04-07,22
252,Albania,2020-04-08,22
253,Albania,2020-04-09,22
254,Albania,2020-04-10,23
255,Albania,2020-04-11,23
256,Albania,2020-04-12,23
257,Albania,2020-04-13,23
258,Albania,2020-04-14,23
259,Albania,2020-04-15,24
260,Albania,2020-04-16,25
261,Albania,2020-04-17,26
262,Albania,2020-04-18,26
263,Albania,2020-04-19,26
264,Albania,2020-04-20,26
265,Albania,2020-04-21,26
266,Albania,2020-04-22,26
267,Albania,2020-04-23,27
268,Albania,2020-04-24,27
269,Albania,2020-04-25,27
270,Albania,2020-04-26,27
271,Albania,2020-04-27,28
272,Albania,2020-04-28,28
273,Albania,2020-04-29,30
274,Andorra,2020-03-03,0
275,Andorra,2020-03-14,0
276,Andorra,2020-03-16,0
277,Andorra,2020-03-17,0
278,Andorra,2020-03-18,0
279,Andorra,2020-03-19,0
280,Andorra,2020-03-20,0
281,Andorra,2020-03-21,0
282,Andorra,2020-03-22,0
283,Andorra,2020-03-23,0
284,Andorra,2020-03-24,0
285,Andorra,2020-03-25,0
286,Andorra,2020-03-26,0
287,Andorra,2020-03-27,3
288,Andorra,2020-03-28,3
289,Andorra,2020-03-29,4
290,Andorra,2020-03-30,6
291,Andorra,2020-03-31,8
292,Andorra,2020-04-01,12
293,Andorra,2020-04-02,14
294,Andorra,2020-04-03,15
295,Andorra,2020-04-04,16
296,Andorra,2020-04-05,17
297,Andorra,2020-04-06,18
298,Andorra,2020-04-07,21
299,Andorra,2020-04-08,22
300,Andorra,2020-04-09,23
301,Andorra,2020-04-10,25
302,Andorra,2020-04-11,26
303,Andorra,2020-04-12,28
304,Andorra,2020-04-13,29
305,Andorra,2020-04-14,29
306,Andorra,2020-04-15,31
307,Andorra,2020-04-16,33
308,Andorra,2020-04-17,33
309,Andorra,2020-04-18,35
310,Andorra,2020-04-19,35
311,Andorra,2020-04-20,36
312,Andorra,2020-04-21,36
313,Andorra,2020-04-22,37
314,Andorra,2020-04-23,37
315,Andorra,2020-04-24,37
316,Andorra,2020-04-25,40
317,Andorra,2020-04-26,40
318,Andorra,2020-04-27,40
319,Andorra,2020-04-28,40
320,Andorra,2020-04-29,41
321,United Arab Emirates,2019-12-31,0
322,United Arab Emirates,2020-01-01,0
323,United Arab Emirates,2020-01-02,0
324,United Arab Emirates,2020-01-03,0
325,United Arab Emirates,2020-01-04,0
326,United Arab Emirates,2020-01-05,0
327,United Arab Emirates,2020-01-06,0
328,United Arab Emirates,2020-01-07,0
329,United Arab Emirates,2020-01-08,0
330,United Arab Emirates,2020-01-09,0
331,United Arab Emirates,2020-01-10,0
332,United Arab Emirates,2020-01-11,0
333,United Arab Emirates,2020-01-12,0
334,United Arab Emirates,2020-01-13,0
335,United Arab Emirates,2020-01-14,0
336,United Arab Emirates,2020-01-15,0
337,United Arab Emirates,2020-01-16,0
338,United Arab Emirates,2020-01-17,0
339,United Arab Emirates,2020-01-18,0
340,United Arab Emirates,2020-01-19,0
341,United Arab Emirates,2020-01-20,0
342,United Arab Emirates,2020-01-21,0
343,United Arab Emirates,2020-01-22,0
344,United Arab Emirates,2020-01-23,0
345,United Arab Emirates,2020-01-24,0
346,United Arab Emirates,2020-01-25,0
347,United Arab Emirates,2020-01-26,0
348,United Arab Emirates,2020-01-27,0
349,United Arab Emirates,2020-01-28,0
350,United Arab Emirates,2020-01-29,0
351,United Arab Emirates,2020-01-30,0
352,United Arab Emirates,2020-01-31,0
353,United Arab Emirates,2020-02-01,0
354,United Arab Emirates,2020-02-02,0
355,United Arab Emirates,2020-02-03,0
356,United Arab Emirates,2020-02-04,0
357,United Arab Emirates,2020-02-05,0
358,United Arab Emirates,2020-02-06,0
359,United Arab Emirates,2020-02-07,0
360,United Arab Emirates,2020-02-08,0
361,United Arab Emirates,2020-02-09,0
362,United Arab Emirates,2020-02-10,0
363,United Arab Emirates,2020-02-11,0
364,United Arab Emirates,2020-02-12,0
365,United Arab Emirates,2020-02-13,0
366,United Arab Emirates,2020-02-14,0
367,United Arab Emirates,2020-02-15,0
368,United Arab Emirates,2020-02-16,0
369,United Arab Emirates,2020-02-17,0
370,United Arab Emirates,2020-02-18,0
371,United Arab Emirates,2020-02-19,0
372,United Arab Emirates,2020-02-20,0
373,United Arab Emirates,2020-02-21,0
374,United Arab Emirates,2020-02-22,0
375,United Arab Emirates,2020-02-23,0
376,United Arab Emirates,2020-02-24,0
377,United Arab Emirates,2020-02-25,0
