,Rank2020,EN_country,Score A,Sco Exa,Score 2020,Progression RANK,Index,Name,Code,PT,label
0,1,Norway,"7,84",0,"7,84",0,164.0,Norway,NO,Noruega,Noruega (1º)
1,2,Finland,"7,93",0,"7,93",0,73.0,Finland,FI,Finlândia,Finlândia (2º)
2,3,Denmark,"8,13",0,"8,13",2,59.0,Denmark,DK,Dinamarca,Dinamarca (3º)
3,4,Sweden,"9,25",0,"9,25",-1,213.0,Sweden,SE,Suécia,Suécia (4º)
4,5,Netherlands,"9,96",0,"9,96",-1,155.0,Netherlands,NL,Países Baixos,Países Baixos (5º)
5,6,Jamaica,"10,51",0,"10,51",2,109.0,Jamaica,JM,Jamaica,Jamaica (6º)
6,7,Costa Rica,"10,53",0,"10,53",3,52.0,Costa Rica,CR,Costa Rica,Costa Rica (7º)
7,8,Switzerland,"10,62",0,"10,62",-2,214.0,Switzerland,CH,Suíça,Suíça (8º)
8,9,New Zealand,"10,69",0,"10,69",-2,157.0,New Zealand,NZ,Nova Zelândia,Nova Zelândia (9º)
9,10,Portugal,"11,83",0,"11,83",2,176.0,Portugal,PT,Portugal,Portugal (10º)
