,Rank2020,EN_country,Score A,Sco Exa,Score 2020,Progression RANK,Index,Name,Code,PT,label
10,11,Germany,"10,34","19,4591015","12,16",2,81.0,Germany,DE,Alemanha,Alemanha (11º)
11,12,Belgium,"12,57",0,"12,57",-3,21.0,Belgium,BE,Bélgica,Bélgica (12º)
12,13,Ireland,"12,6",0,"12,6",2,105.0,Ireland,IE,Irlanda,Irlanda (13º)
13,14,Estonia,"12,61",0,"12,61",-3,68.0,Estonia,EE,Estônia,Estônia (14º)
14,15,Iceland,"15,12",0,"15,12",-1,100.0,Iceland,IS,Islândia,Islândia (15º)
15,16,Canada,"15,29",0,"15,29",2,38.0,Canada,CA,Canadá,Canadá (16º)
16,17,Luxembourg,"15,46",0,"15,46",0,128.0,Luxembourg,LU,Luxemburgo,Luxemburgo (17º)
17,18,Austria,"15,78",0,"15,78",-2,14.0,Austria,AT,Áustria,Áustria (18º)
18,19,Uruguay,"15,79",0,"15,79",0,236.0,Uruguay,UY,Uruguai,Uruguai (19º)
19,20,Suriname,"17,5",0,"17,5",0,210.0,Suriname,SR,Suriname,Suriname (20º)
